dataset_type,model_name,outer_fold,params,inner_mean_auc,train_rows,test_rows,train_end,train_target_end,test_start,test_end
base,xgboost,3,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5137279802613998,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
base,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.5131678276746786,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
news_volume,logistic_regression,3,"{""model__C"": 10.0}",0.510636699581481,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
news_volume,random_forest,3,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.508589949294949,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
news_volume,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5078386990453317,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
news_volume,xgboost,3,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5125267852533621,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
news_volume,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.5094614512952357,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
sentiment_only,logistic_regression,3,"{""model__C"": 0.1}",0.501858989039676,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
sentiment_only,random_forest,3,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5009251596460554,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
sentiment_only,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5000627365896001,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
sentiment_only,xgboost,3,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5019394791005873,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
sentiment_only,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5028497683436448,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
financial_sentiment,logistic_regression,3,"{""model__C"": 10.0}",0.5070743858159247,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
financial_sentiment,random_forest,3,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5081765485193995,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
financial_sentiment,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5096256931293203,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
financial_sentiment,xgboost,3,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5066980227153913,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
financial_sentiment,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5134298545848891,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
hybrid,logistic_regression,3,"{""model__C"": 10.0}",0.508364493410105,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
hybrid,random_forest,3,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5083853518112983,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
hybrid,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.510357194373551,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
