scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,approach,dataset_type,model_name,ticker
outer_fold,0.5271739130434783,0.5339805825242718,0.5851063829787234,0.5583756345177665,0.525886524822695,0.5248018523466025,0.052134811447119817,0.553191489361702,42,48,39,55,2.0,add_news_abs_sentiment,hybrid,random_forest,NVDA
outer_fold,0.5815217391304348,0.6764705882352942,0.45544554455445546,0.5443786982248521,0.5951926517953,0.5787220124290089,0.1962680930958195,0.6162471668853632,61,22,55,46,3.0,add_news_abs_sentiment,hybrid,random_forest,NVDA
global,0.49909584086799275,0.5076530612244898,0.7031802120141343,0.5896296296296296,0.49418269859965974,0.4734691071582023,-0.01280178972974688,0.5169873053265279,77,193,84,199,,add_news_abs_sentiment,hybrid,random_forest,TSLA
outer_fold,0.5027027027027027,0.5104895104895105,0.7684210526315789,0.6134453781512605,0.49532163742690055,0.45823784059078176,-0.011163857020719675,0.49894736842105264,20,70,22,73,1.0,add_news_abs_sentiment,hybrid,random_forest,TSLA
outer_fold,0.4945652173913043,0.48299319727891155,0.8068181818181818,0.6042553191489362,0.5075757575757576,0.45250359942409213,0.018883108460823226,0.5677083333333334,20,76,17,71,2.0,add_news_abs_sentiment,hybrid,random_forest,TSLA
outer_fold,0.5,0.5392156862745098,0.55,0.5445544554455446,0.49523809523809526,0.49516879398783253,-0.009544283519901796,0.526547619047619,37,47,45,55,3.0,add_news_abs_sentiment,hybrid,random_forest,TSLA
global,0.5298372513562387,0.5473441108545035,0.7873754152823921,0.6457765667574932,0.5047988187523071,0.47342591778734877,0.011596135727301086,0.4827163423508939,56,196,64,237,,add_news_abs_sentiment,lag_1,hist_gradient_boosting,AAPL
outer_fold,0.5513513513513514,0.5506329113924051,0.8787878787878788,0.6770428015564203,0.5266032417195208,0.4712647636100685,0.075165915866727,0.4672891707775429,15,71,12,87,1.0,add_news_abs_sentiment,lag_1,hist_gradient_boosting,AAPL
outer_fold,0.5,0.536,0.6633663366336634,0.5929203539823009,0.48228557795538596,0.47251651501931946,-0.037772497742339206,0.47870690683526185,25,58,34,67,2.0,add_news_abs_sentiment,lag_1,hist_gradient_boosting,AAPL
outer_fold,0.5380434782608695,0.5533333333333333,0.8217821782178217,0.6613545816733067,0.5072766312775856,0.46742942758879014,0.018658426218918896,0.4841345580341166,16,67,18,83,3.0,add_news_abs_sentiment,lag_1,hist_gradient_boosting,AAPL
global,0.5207956600361664,0.5491183879093199,0.7171052631578947,0.6219686162624821,0.49911488057493125,0.48382381430408056,-0.0019570899215489296,0.4915451278799408,70,179,86,218,,add_news_abs_sentiment,lag_1,hist_gradient_boosting,MSFT
outer_fold,0.518918918918919,0.5606060606060606,0.7047619047619048,0.6244725738396625,0.4898809523809524,0.4776498207544177,-0.022176059488085882,0.4466666666666667,22,58,31,74,1.0,add_news_abs_sentiment,lag_1,hist_gradient_boosting,MSFT
outer_fold,0.5271739130434783,0.5317460317460317,0.7052631578947368,0.6063348416289592,0.521170904790065,0.5072490534675409,0.0455435575111635,0.511886457717327,30,59,28,67,2.0,add_news_abs_sentiment,lag_1,hist_gradient_boosting,MSFT
outer_fold,0.5163043478260869,0.5539568345323741,0.7403846153846154,0.6337448559670782,0.4826923076923077,0.4608724279835391,-0.03992244834139892,0.5039663461538462,18,62,27,77,3.0,add_news_abs_sentiment,lag_1,hist_gradient_boosting,MSFT
global,0.5497287522603979,0.5757575757575758,0.6875,0.6266866566716641,0.5345130522088354,0.5297442394975633,0.07231355567714826,0.5630020080321285,95,154,95,209,,add_news_abs_sentiment,lag_1,hist_gradient_boosting,NVDA
outer_fold,0.6,0.6521739130434783,0.6880733944954128,0.6696428571428571,0.5808788025108643,0.5813967710371819,0.16409177508205483,0.5974167069048769,36,40,34,75,1.0,add_news_abs_sentiment,lag_1,hist_gradient_boosting,NVDA
outer_fold,0.4945652173913043,0.504424778761062,0.6063829787234043,0.5507246376811594,0.49208037825059103,0.4865424430641822,-0.016264893380521946,0.5721040189125295,34,56,37,57,2.0,add_news_abs_sentiment,lag_1,hist_gradient_boosting,NVDA
outer_fold,0.5543478260869565,0.5703703703703704,0.7623762376237624,0.652542372881356,0.5317905284504354,0.5156651258346174,0.07157519694391848,0.5254682094715495,25,58,24,77,3.0,add_news_abs_sentiment,lag_1,hist_gradient_boosting,NVDA
global,0.4918625678119349,0.5024752475247525,0.7173144876325088,0.5909752547307132,0.4864350215940322,0.4601654316612993,-0.03056612504692822,0.5236160188457009,69,201,80,203,,add_news_abs_sentiment,lag_1,hist_gradient_boosting,TSLA
outer_fold,0.4918918918918919,0.503448275862069,0.7684210526315789,0.6083333333333333,0.4842105263157894,0.4426282051282051,-0.03834128905580745,0.5422807017543859,18,72,22,73,1.0,add_news_abs_sentiment,lag_1,hist_gradient_boosting,TSLA
outer_fold,0.483695652173913,0.4728682170542636,0.6931818181818182,0.5622119815668203,0.49242424242424243,0.4665364543595691,-0.016533196108375114,0.5197679924242424,28,68,27,61,2.0,add_news_abs_sentiment,lag_1,hist_gradient_boosting,TSLA
outer_fold,0.5,0.5307692307692308,0.69,0.6,0.4819047619047619,0.4666666666666667,-0.039588166168139614,0.5171428571428571,23,61,31,69,3.0,add_news_abs_sentiment,lag_1,hist_gradient_boosting,TSLA
global,0.49005424954792043,0.5231143552311436,0.7142857142857143,0.6039325842696629,0.46825396825396826,0.44409827183026296,-0.07238321632426223,0.4631782945736434,56,196,86,215,,add_news_abs_sentiment,lag_1,logistic_regression,AAPL
outer_fold,0.5567567567567567,0.5515151515151515,0.9191919191919192,0.6893939393939394,0.5293634014564247,0.457904516866781,0.09432921308555914,0.5004698144233029,12,74,8,91,1.0,add_news_abs_sentiment,lag_1,logistic_regression,AAPL
outer_fold,0.45108695652173914,0.5,0.7326732673267327,0.5943775100401606,0.42055350113324586,0.37281900712092064,-0.1993069226930592,0.42872480019086245,9,74,27,74,2.0,add_news_abs_sentiment,lag_1,logistic_regression,AAPL
outer_fold,0.46195652173913043,0.5102040816326531,0.49504950495049505,0.5025125628140703,0.45836812596922344,0.4583568731230115,-0.08304116360996928,0.45317905284504356,35,48,51,50,3.0,add_news_abs_sentiment,lag_1,logistic_regression,AAPL
global,0.4936708860759494,0.5447761194029851,0.48026315789473684,0.5104895104895105,0.49515165926865357,0.4930724706005605,-0.009653165843873672,0.5038575354047771,127,122,158,146,,add_news_abs_sentiment,lag_1,logistic_regression,MSFT
